 "image" , "version" , "os" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_latest" , "dash_0.5.8-2.4" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/debian-9" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/pegasus_workflow_images%3Alatest" , "dash_0.5.8-2.4" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/debian-9" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/mintproject-pihm2cycles_1.1" , "dash_0.5.8-2.4" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/debian-9" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/mintproject-pihm2cycles_1.2" , "dash_0.5.8-2.4" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/debian-9" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/library-mysql_latest" , "dash_0.5.8-2.4" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/debian-9" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_latest" , "dash_0.5.8-2.4" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/ubuntu-16.04" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/pegasus_workflow_images%3Alatest" , "dash_0.5.8-2.4" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/ubuntu-16.04" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/mintproject-pihm2cycles_1.1" , "dash_0.5.8-2.4" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/ubuntu-16.04" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/mintproject-pihm2cycles_1.2" , "dash_0.5.8-2.4" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/ubuntu-16.04" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/library-mysql_latest" , "dash_0.5.8-2.4" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/ubuntu-16.04" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "dash_0.5.8-2.1ubuntu2" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/debian-9" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/pegasus_workflow_images%3Apegasus-4.8.5" , "dash_0.5.8-2.1ubuntu2" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/debian-9" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "dash_0.5.8-2.1ubuntu2" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/ubuntu-16.04" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/pegasus_workflow_images%3Apegasus-4.8.5" , "dash_0.5.8-2.1ubuntu2" , "http://dockerpedia.inf.utfsm.cl/resource/OperatingSystem/ubuntu-16.04" ,
